Employer,JobTitle,Wage,City,State
"SATMETRIX SYSTEMS, INC.","VP, PRODUCT MANAGEMENT",170000,"SAN MATEO",CA
"THE DAILY HOLDINGS, INC. F/K/A/ NEWS HOLDINGS, INC","PRODUCT OWNER",150000,"NEW YORK",NY
"MEDNET RESOURCES, INC.","MARKETING MANAGER",63586,ERIE,PA
"INFORMATION MANAGEMENT CONSULTANTS, INC.","ACCOUNT EXECUTIVE/ BUSINESS DEVELOPMENT MANAGER",100000,RESTON,VA
"VIDYO INC.","PRODUCT MARKETING PROGRAM MANAGER",90000,HACKENSACK,NJ
"AT&T MOBILITY SERVICES LLC","SENIOR PRODUCT MARKETING MANAGER",78614,ATLANTA,GA
"VERIAN TECHNOLOGIES LLC","PRODUCT MANAGER",100000,"INDIAN LAND",SC
"HEWLETT-PACKARD COMPANY","DIRECTOR, STRATEGY & PLANNING",129800,PLANO,TX
"MAPR TECHNOLOGIES, INC.","PRODUCT MANAGER",107370,"SAN JOSE",CA
"SEARS HOLDINGS MANAGEMENT CORPORATION","DIRECTOR, MERCHANDISING STRATEGY OPERATIONS",150000,"HOFFMAN ESTATES",IL
"LINAL, INC.","DIRECTOR OF MARKETING OPERATIONS",160000,WINDSOR,CT
"MWG MARKETING LLC","BUSINESS DEVELOPMENT MANAGER",108000,MIAMI,FL
"SEARS HOLDINGS MANAGEMENT CORPORATION","DIRECTOR, CUSTOMER EXPERIENCE",127000,"HOFFMAN ESTATES",IL
"MERKLE INC.","SEARCH ACCOUNT MANAGER",83200,PITTSBURGH,PA
"MARITIME CLAIMS-AMERICAS, INC.","INTERNATIONAL MARKETING DIRECTOR",50190,"NEW ORLEANS",LA
"GYRUS ACMI, INC.","MANAGER, INTERNATIONAL MARKETING - UROLOGY",98900,SOUTHBOROUGH,MA
"DSM DESOTECH, INC.","SUPPLY CHAIN DEMAND PLANNER",73500,ELGIN,IL
"CISCO SYSTEMS, INC.","TECHNICAL MARKETING MANAGER",119766,TEWKSBURY,MA
"MASTER CHEMICAL CORPORATION","GLOBAL AEROSPACE MANAGER",93000,PERRYSBURG,OH
"NEW RELIC, INC.","PRODUCT MARKETING MANAGER",101608,"SAN FRANCISCO",CA
"JEN BEKMAN PROJECTS, INC.","VICE PRESIDENT, E-COMMERCE MARKETING",140000,"NEW YORK",NY
"ICROSSING INC.","STRATEGY DIRECTOR",150000,"NEW YORK",NY
"GILT TRAVEL, INC.","DIRECTOR, INTEGRATED MARKETING",120000,"NEW YORK",NY
"MEDIAWHIZ HOLDINGS, LLC","VICE PRESIDENT STRATEGY & OPERATIONS",135000,"NEW YORK",NY
"TRANSDERMAL CAP, INC.","MARKETING MANAGER",80000,LAKEWOOD,OH
"LIVEOPS, INC.","TECHNICAL PRODUCT MANAGER",115000,"REDWOOD CITY",CA
"AMERICAN SUGAR REFINING, INC.","DIRECTOR, CORPORATE DEVELOPMENT, M&A AND STRATEGY",160000,YONKERS,NY
"JOHN BEAN TECHNOLOGIES CORPORATION","AFTERMARKET, MARKETING & BUSINESS PLANNING MANAGER",90000,SANDUSKY,OH
"CISCO SYSTEMS, INC.","PRODUCT MANAGER",103771,RICHARDSON,TX
"FOX DIGITAL ENTERPRISES, INC.","DIRECTOR BUSINESS DEVELOPMENT MOBILE",125000,"LOS ANGELES",CA
"GOOGLE INC.","STRATEGIC PARTNER DEVELOPMENT MANAGER (MARKETING)",163317,"CORAL GABLES",FL
"WILSON SPORTING GOODS CO.","MARKETING MANAGER, SOFTGOODS",86445,CHICAGO,IL
"REED ELSEVIER,  INC. (LEXISNEXIS DIVISION)","SEARCH ENGINE MARKETING MANAGER",77000,"NEW PROVIDENCE",NJ
"OOYALA INC.","PARTNER MARKETING MANAGER",127923,"MOUNTAIN VIEW",CA
"ASV FAMILY LIMITED PARTNERSHIP","BUSINESS DEVELOPMENT MANAGER",80000,"FORTH WORTH",TX
"JPMORGAN CHASE & CO.","SENIOR MARKETING MANAGER",115000,"NEW YORK",NY
